instance,n_stops,scenario,scenario_kind,shape,effect,edges_closed,edges_slowed,T1_total_s,T2_omniscient_feasible,T2_omniscient_total_s,T2_reactive_feasible,T2_reactive_total_s,T3_feasible,T3_triggered,T3_total_s,T3_oracle_feasible,T3_oracle_total_s,saving_pct
medium,20,random_seed_44,random,polygon,closure,40,0,10252.236059018353,True,10252.236059018353,True,10252.236059018353,True,False,10252.236059018353,True,10252.236059018353,0.0
medium,20,random_seed_45,random,corridor,slow_zone,0,4,10252.236059018353,True,10252.236059018353,True,10252.236059018353,True,False,10252.236059018353,True,10252.236059018353,0.0
medium,20,random_seed_46,random,edge,slow_zone,0,2,10252.236059018353,True,10252.236059018353,True,10252.236059018353,True,False,10252.236059018353,True,10252.236059018353,0.0
medium,20,random_seed_47,random,corridor,closure,4,0,10252.236059018353,True,10252.236059018353,True,10252.236059018353,True,False,10252.236059018353,True,10252.236059018353,0.0
medium,20,random_seed_48,random,corridor,closure,8,0,10252.236059018353,True,10252.236059018353,True,10252.236059018353,True,False,10252.236059018353,True,10252.236059018353,0.0
medium,20,random_seed_49,random,edge,slow_zone,0,2,10252.236059018353,True,10252.236059018353,True,10252.236059018353,True,False,10252.236059018353,True,10252.236059018353,0.0
medium,20,random_seed_50,random,polygon,slow_zone,0,90,10252.236059018353,True,10252.236059018353,True,10252.236059018353,True,False,10252.236059018353,True,10252.236059018353,0.0
medium,20,random_seed_51,random,node,closure,2,0,10252.236059018353,True,10252.236059018353,True,10252.236059018353,True,False,10252.236059018353,True,10252.236059018353,0.0
large,40,liffey_quays_closure,curated,corridor,closure,44,0,18553.192459374208,False,,False,,False,True,,False,,
large,40,luas_works_dawson_street,curated,corridor,slow_zone,0,2,18553.192459374208,True,18680.85601305841,True,18680.85601305841,True,False,18680.85601305841,True,17906.526873524926,0.0
large,40,oconnell_street_protest,curated,polygon,closure,58,0,18553.192459374208,False,,False,,False,True,,False,,
large,40,st_patricks_day_parade,curated,corridor,closure,53,0,18553.192459374208,False,,False,,False,True,,False,,
large,40,random_seed_42,random,edge,closure,2,0,18553.192459374208,True,18553.192459374208,True,18553.192459374208,True,False,18553.192459374208,True,18553.192459374208,0.0
large,40,random_seed_43,random,edge,slow_zone,0,2,18553.192459374208,True,18553.192459374208,True,18553.192459374208,True,False,18553.192459374208,True,18553.192459374208,0.0
large,40,random_seed_44,random,polygon,closure,40,0,18553.192459374208,True,18553.192459374208,True,18553.192459374208,True,False,18553.192459374208,True,18553.192459374208,0.0
large,40,random_seed_45,random,corridor,slow_zone,0,4,18553.192459374208,True,18553.192459374208,True,18553.192459374208,True,False,18553.192459374208,True,18553.192459374208,0.0
large,40,random_seed_46,random,edge,slow_zone,0,2,18553.192459374208,True,18553.192459374208,True,18553.192459374208,True,False,18553.192459374208,True,18553.192459374208,0.0
large,40,random_seed_47,random,corridor,closure,4,0,18553.192459374208,True,18553.192459374208,True,18553.192459374208,True,False,18553.192459374208,True,18553.192459374208,0.0
large,40,random_seed_48,random,corridor,closure,8,0,18553.192459374208,True,18553.192459374208,True,18553.192459374208,True,False,18553.192459374208,True,18553.192459374208,0.0
large,40,random_seed_49,random,edge,slow_zone,0,2,18553.192459374208,True,18553.192459374208,True,18553.192459374208,True,False,18553.192459374208,True,18553.192459374208,0.0
large,40,random_seed_50,random,polygon,slow_zone,0,90,18553.192459374208,True,18553.192459374208,True,18553.192459374208,True,False,18553.192459374208,True,18553.192459374208,0.0
large,40,random_seed_51,random,node,closure,2,0,18553.192459374208,True,18553.192459374208,True,18553.192459374208,True,False,18553.192459374208,True,18553.192459374208,0.0
